id;estado;setor;faturamento_informado;divida_total_pj;score;taxa;atraso_corrente;prazo;valor_contrato;valor_contrato_mais_juros;valor_em_aberto
2230;SP;ATACADO;400000;409000;167;4,347;0;12,6;44633,5995;51828,48;0
22408;CE;VAREJO;150000;18000;135;5,124;0;12,6;8877,6555;10776,72;0
25129;SP;INDUSTRIA DA CONSTRUCAO;60000;0;726;4,0635;0;12,6;16645,5975;19063,08;0
31369;TO;VAREJO;60000;116000;298;4,6935;0;12,6;16739,0475;19877,28;0
39775;RJ;VAREJO;1500000;1086000;525;4,2;0;12,6;112659,561;128793,72;0
40432;DF;SERVICOS DE ALOJAMENTO/ALIMENTACAO;120000;0;333;4,7985;0;12,6;11097,366;13271,76;8685,14
43327;BA;SERVICOS DE ALOJAMENTO/ALIMENTACAO;55000;0;591;4,788;1415;12,6;16645,8915;19883,76;19883,76
57690;BA;INDUSTRIA DA CONSTRUCAO;150000;9000;470;4,5045;0;6,3;21632,7615;23191,14;0
66204;SP;SERVICOS DE ALOJAMENTO/ALIMENTACAO;25000;8000;434;4,809;0;12,6;15536,1255;18580,2;0
76989;SC;VAREJO;18000;298;354;5,103;0;6,3;2163,315;2368,32;0
88276;PE;VAREJO;45000;91000;607;4,767;0;12,6;22196,3805;26741,4;0
91533;SP;ATACADO;1595490;11022000;765;3,612;1007;12,6;111599,4285;124777,68;27738,49
108974;PR;VAREJO;28000;22000;166;5,355;38;12,6;5548,578;6831,36;0
123924;MS;INDUSTRIA DA CONSTRUCAO;45000;96000;124;6,0585;1218;6,3;5409,054;6219,3;6219,3
127506;SC;SIDERURGICA-METALURGIA;100000;39000;110;4,263;990;12,6;22195,4145;25855,56;16660,88
140944;TO;SERVICOS ADMINISTRATIVOS;468000;330000;174;4,053;631;12,6;78113,385;89354,52;46309,26
144364;SP;ATACADO;180000;19000;191;4,893;1060;6,3;21692,937;23325,36;3496,32
167852;SP;SERVICOS PROFISSIONAIS E TECNICOS;723861;1413000;322;3,612;0;12,6;133910,9835;149476,32;0
18764;PE;BENS DE CONSUMO;47915;9000;606;4,3995;1333;12,6;13316,6145;15555,24;7729,52
23421;SP;SERVICOS DE ALOJAMENTO/ALIMENTACAO;90000;76000;639;4,1895;1410;12,6;16646,2485;19274,4;15936,1
24896;PA;VAREJO;28000;4000;454;5,082;0;12,6;13316,499;16137,36;0
25340;MG;VAREJO;195000;435000;335;4,347;0;9,45;38504,025;42675,84;0
50940;RJ;SERVICOS PROFISSIONAIS E TECNICOS;16000;0;540;4,788;0;12,6;6658,4595;7963,08;0
60246;SP;VAREJO;100000;34000;249;4,557;0;12,6;22196,6325;26449,56;0
64413;SP;VAREJO;500000;1826000;153;4,179;0;18,9;103142,361;128451,6;0
92493;RJ;SERVICOS DE ALOJAMENTO/ALIMENTACAO;230000;462000;554;3,5595;1092;10,5;108832,4895;122223,1;48493,24
105401;PR;VAREJO;300000;29000;449;4,0005;468;12,6;55785,849;63249,6;45840,89
113637;SP;VAREJO;10000;6000;536;5,4915;1182;10,5;5502,0735;6673,3;5338,64
115572;RJ;VAREJO;40000;47000;421;5,292;0;6,3;5408,0985;5931,72;0
119963;PE;TRANSPORTE;70000;16000;616;4,0635;1123;12,6;22194,543;25467,24;16718,16
168644;CE;BENS DE CONSUMO;120000;75000;166;4,305;0;6,3;32546,577;34621,5;0
169290;PR;SERVICOS DE ALOJAMENTO/ALIMENTACAO;70000;0;102;6,468;1135;12,6;16742,1135;22121,76;19940,49
180057;SP;VAREJO;140000;0;633;4,8405;0;9,45;44035,404;51095,79;0
3650;AM;INDUSTRIA DA CONSTRUCAO;45000;6000;396;5,2815;0;12,6;5549,0715;6879,72;0
24851;MS;TEXTEIS;45000;20000;107;6,237;0;12,6;5548,956;7234,2;0
27388;SC;SERVICOS ADMINISTRATIVOS;65000;113000;457;4,7145;0;12,6;22198,8585;27005,64;0
38837;SP;VAREJO;300000;1204000;657;4,1475;0;12,6;66949,239;76821,12;0
43467;SP;ATACADO;120000;29000;268;4,9035;0;12,6;11100,516;13814,52;0
47056;MS;SERVICOS PROFISSIONAIS E TECNICOS;20000;3000;562;4,914;0;12,6;5582,7135;6851,4;0
60952;MG;SERVICOS DE EDUCACAO;25000;7000;322;5,061;0;12,6;16648,716;20612,4;3835,13
70179;PR;SERVICOS DE ALOJAMENTO/ALIMENTACAO;115000;60000;193;4,3575;1205;12,6;33292,2765;38888,88;26266,06
79406;SP;VAREJO;60000;35000;404;4,6515;0;12,6;33295,794;40013,28;0
110856;RS;ATACADO;890000;1092000;457;4,284;0;12,6;89329,2855;105824,76;0
119019;SC;BENS DE CONSUMO;400000;918000;103;3,969;0;18,9;91681,4745;112255,74;0
120992;PA;VAREJO;30000;5000;338;5,418;0;12,6;5549,0715;6930,48;0
163035;DF;VAREJO;110000;56000;194;4,2315;1115;12,6;39065,208;45465,12;37806,66
177439;SP;SERVICOS PROFISSIONAIS E TECNICOS;10000;1000;643;5,7225;0;11,55;11110,029;13843,5;0
2698;MG;SERVICOS DE ALOJAMENTO/ALIMENTACAO;70000;28000;304;3,948;1633;12,6;55783,9275;63075,72;51990,69
5285;SP;SERVICOS ADMINISTRATIVOS;85000;97000;379;4,788;0;12,6;11097,7545;13321,2;0
35091;CE;VAREJO;80000;69000;488;4,641;0;12,6;33822,3585;39681,36;0
40046;PR;VAREJO;264823;33000;446;4,9035;0;12,6;27743,373;33373,8;0
54192;SP;INDUSTRIA DA CONSTRUCAO;140000;0;317;4,2315;1360;9,45;55067,838;62851,23;62851,23
80744;SP;VAREJO;23000;40000;362;5,4915;1304;12,6;5579,448;6907,8;6907,8
